"【改制後】縣市重要統計指標自選項目
            ，依 指標、期間、縣市"
""
"","","垃圾焚化量(公噸)","垃圾衛生掩埋量(公噸)","執行機關資源回收量(公噸)","一般廢棄物產生量(公噸)","一般廢棄物回收率(%)","地方環保單位歲出決算數(千元)"
"2014","","","","","",""
"","總計","3,189,457","83,136","3,407,494","7,369,439","55.59","39,491,643"
"","臺灣地區","3,177,051","81,510","3,393,573","-","-","39,117,622"
"","新北市","381,430","7,467","486,810","1,010,705","61.52","8,199,465"
"","臺北市","274,166","-","488,566","840,555","67.38","6,512,741"
"","桃園市","351,977","1,159","347,147","804,316","56.09","3,504,768"
"","臺中市","383,895","880","377,447","808,879","52.43","3,971,374"
"","臺南市","256,325","355","286,507","612,732","58.11","2,599,075"
"","高雄市","399,421","9,324","419,479","923,999","55.76","4,092,826"
"","宜蘭縣","63,429","152","67,903","162,188","60.80","904,598"
"","新竹縣","89,389","-","79,445","184,356","51.51","691,630"
"","苗栗縣","90,182","7","73,198","176,116","48.79","1,118,991"
"","彰化縣","208,321","18","164,028","391,688","46.81","1,272,262"
"","南投縣","90,697","0","75,775","187,909","51.73","543,322"
"","雲林縣","72,454","31,217","73,257","191,229","45.79","887,830"
"","嘉義縣","93,355","-","73,598","177,456","47.39","563,374"
"","屏東縣","143,635","-","103,153","261,259","45.02","1,215,795"
"","臺東縣","32,115","12,493","29,825","80,316","44.46","354,215"
"","花蓮縣","42,701","13,087","44,822","107,725","48.21","500,925"
"","澎湖縣","14,028","1,710","13,616","33,317","52.76","229,930"
"","基隆市","65,380","-","66,722","144,100","54.63","653,507"
"","新竹市","83,200","3,638","75,006","172,661","49.71","821,267"
"","嘉義市","40,952","-","47,269","97,413","57.96","479,727"
"","金門縣","10,043","1,626","10,808","24,173","51.41","322,683"
"","連江縣","2,363","-","3,115","7,445","68.26","51,338"
"2015","","","","","",""
"","總計","3,143,054","91,655","3,436,768","7,229,290","55.23","40,403,661"
"","臺灣地區","3,129,119","90,200","3,422,171","-","-","40,049,553"
"","新北市","336,230","7,030","471,486","940,086","63.49","8,368,684"
"","臺北市","282,756","-","500,053","857,431","67.02","6,314,811"
"","桃園市","373,303","834","327,426","731,654","48.86","3,715,906"
"","臺中市","391,447","838","380,776","814,876","51.86","4,243,529"
"","臺南市","253,914","2,798","295,987","622,117","58.74","2,774,612"
"","高雄市","389,254","8,343","411,365","897,707","55.71","4,361,161"
"","宜蘭縣","64,701","111","75,141","171,392","62.18","891,201"
"","新竹縣","84,071","1","78,967","177,928","52.75","760,798"
"","苗栗縣","89,614","12","82,011","185,419","51.66","867,609"
"","彰化縣","207,131","283","166,013","385,328","46.16","1,284,151"
"","南投縣","91,377","1,336","79,805","191,953","51.70","541,523"
"","雲林縣","72,945","30,339","78,755","194,493","46.09","999,070"
"","嘉義縣","86,216","-","76,901","174,208","50.51","583,060"
"","屏東縣","146,955","105","112,980","271,887","45.91","1,282,750"
"","臺東縣","21,584","19,395","30,098","77,094","46.85","346,956"
"","花蓮縣","43,592","14,143","45,694","110,413","47.70","495,511"
"","澎湖縣","15,363","788","13,833","34,050","52.57","255,994"
"","基隆市","66,523","-","68,615","148,558","55.22","701,496"
"","新竹市","71,960","3,844","79,015","166,207","54.39","770,122"
"","嘉義市","40,183","-","47,250","96,558","58.38","490,609"
"","金門縣","11,824","1,456","11,554","26,552","49.71","304,453"
"","連江縣","2,112","-","3,045","6,951","69.62","49,655"
"2016","","","","","",""
"","總計","2,993,435","77,940","3,701,670","7,461,342","58.00","41,505,270"
"","臺灣地區","2,978,325","76,842","3,684,268","-","-","41,085,322"
"","新北市","341,979","-","525,890","990,138","65.46","8,308,960"
"","臺北市","244,574","-","470,481","783,268","68.78","6,618,851"
"","桃園市","360,060","602","378,295","792,116","51.03","3,884,043"
"","臺中市","365,297","427","406,782","815,996","55.12","4,386,118"
"","臺南市","239,640","1,310","326,283","639,667","62.33","2,617,508"
"","高雄市","389,658","8,438","439,217","926,848","57.05","4,109,069"
"","宜蘭縣","75,524","74","75,765","165,525","54.33","967,621"
"","新竹縣","70,197","31","81,101","165,179","55.07","875,416"
"","苗栗縣","89,810","19","88,922","191,217","53.02","938,904"
"","彰化縣","201,872","157","181,448","401,503","48.67","1,391,787"
"","南投縣","74,422","382","83,335","187,571","52.53","679,534"
"","雲林縣","65,766","24,853","86,214","198,745","49.76","883,226"
"","嘉義縣","77,709","-","92,934","183,548","57.66","604,077"
"","屏東縣","153,709","19","134,135","299,360","48.57","1,246,751"
"","臺東縣","12,787","25,602","42,884","88,339","56.37","460,650"
"","花蓮縣","41,933","10,830","51,481","112,200","50.78","508,160"
"","澎湖縣","16,059","338","17,504","37,920","56.76","286,896"
"","基隆市","64,829","-","73,229","149,929","56.76","855,233"
"","新竹市","55,496","3,759","80,531","152,053","61.03","769,613"
"","嘉義市","37,004","-","47,837","93,057","60.24","692,905"
"","金門縣","13,002","1,098","14,663","30,972","54.24","359,040"
"","連江縣","2,108","-","2,741","6,035","65.01","60,908"
"2017","","","","","",""
"","總計","2,969,654","70,382","4,169,539","7,870,896","60.22","45,195,156"
"","臺灣地區","2,959,495","69,311","4,149,316","-","-","44,776,437"
"","新北市","434,229","1,742","609,218","1,158,662","62.37","8,380,349"
"","臺北市","205,932","-","482,330","755,026","72.73","9,003,541"
"","桃園市","367,740","631","488,488","890,147","57.40","4,343,411"
"","臺中市","347,813","0","460,695","863,140","58.39","4,757,591"
"","臺南市","246,958","1,105","349,952","671,386","63.05","2,885,513"
"","高雄市","382,519","7,239","498,632","969,900","59.81","4,243,911"
"","宜蘭縣","72,720","-","85,358","165,848","56.15","902,894"
"","新竹縣","57,562","346","90,785","176,428","55.88","859,140"
"","苗栗縣","88,588","78","109,338","210,528","57.86","919,178"
"","彰化縣","196,124","7","207,006","418,867","53.18","1,382,055"
"","南投縣","72,435","-","82,411","179,696","51.52","769,860"
"","雲林縣","42,668","20,577","85,951","189,601","54.10","1,034,435"
"","嘉義縣","71,384","-","99,245","184,064","61.22","621,096"
"","屏東縣","140,074","5,506","151,041","307,994","52.68","1,307,224"
"","臺東縣","14,881","20,696","47,273","90,794","60.60","397,990"
"","花蓮縣","34,193","8,604","59,876","116,202","56.63","520,641"
"","澎湖縣","15,585","186","19,635","39,771","60.35","278,376"
"","基隆市","65,397","-","86,505","163,651","60.04","810,532"
"","新竹市","58,818","2,592","86,845","162,587","62.23","782,543"
"","嘉義市","43,874","-","48,732","99,289","55.81","576,157"
"","金門縣","8,649","1,071","16,844","31,282","63.90","368,258"
"","連江縣","1,510","-","3,379","6,743","69.57","50,461"
"2018","","","","","",""
"","總計","4,103,398","87,251","4,921,715","9,740,671","55.68","45,493,984"
"","臺灣地區","4,096,282","86,181","4,901,249","-","-","45,009,272"
"","新北市","640,559","7,371","762,756","1,537,668","57.86","8,878,474"
"","臺北市","210,570","-","470,866","750,275","71.93","7,741,846"
"","桃園市","403,325","1,570","568,369","1,049,837","57.18","4,589,394"
"","臺中市","674,180","-","538,695","1,267,112","45.94","5,174,734"
"","臺南市","416,381","1,488","431,904","927,086","54.93","2,704,839"
"","高雄市","533,922","6,556","629,572","1,250,781","56.79","4,120,280"
"","宜蘭縣","81,545","-","101,266","194,797","58.14","999,635"
"","新竹縣","76,945","169","117,706","214,693","58.24","989,752"
"","苗栗縣","94,746","378","115,628","224,966","57.72","944,216"
"","彰化縣","283,762","25","275,369","576,392","50.76","1,407,130"
"","南投縣","68,012","7","84,650","190,689","49.00","747,499"
"","雲林縣","45,673","30,609","112,234","228,147","56.76","1,005,553"
"","嘉義縣","72,046","-","107,809","195,499","63.15","617,672"
"","屏東縣","196,571","271","175,412","384,301","48.81","1,342,013"
"","臺東縣","6,231","26,135","49,644","91,875","63.00","437,104"
"","花蓮縣","38,902","7,733","66,484","126,428","56.61","568,160"
"","澎湖縣","20,935","521","22,146","43,914","59.62","303,735"
"","基隆市","92,687","-","99,792","204,233","54.62","999,230"
"","新竹市","72,892","3,348","102,157","193,077","60.51","890,827"
"","嘉義市","66,399","-","68,790","145,016","54.21","547,179"
"","金門縣","5,140","1,070","16,467","29,671","75.06","391,322"
"","連江縣","1,976","-","3,999","7,589","74.62","93,390"
"2019","","","","","",""
"","總計","4,042,110","86,402","5,334,797","9,812,418","56.27","50,273,116"
"","臺灣地區","4,032,559","85,333","5,313,303","-","-","49,652,866"
"","新北市","613,403","7,633","767,853","1,513,068","58.96","9,008,777"
