year,city/county,Household_income,General_waste_recycling_rate,Budget_structure_ratio_for_environmental,Proportion_of_environmental_fines,number_of_people,per_capita_electricity_usage,per_capita_incinerated_waste_kg,per_capita_landfilled_waste_kg,per_capita_resource_recovery_by_local_authorities_kg,per_capita_generation_of_general_waste_kg,per_capita_t_capacity_of_renewable_energy,Vancancy_rate,per_capita_food_waste_kg
2014,南投縣,919551,51.73,1.17,1.917,514315,5284.182116018394,176.34523589628924,0,147.3318880452641,365.35780601382424,0.5353839573024314,11.61,41.68068207227088
2014,嘉義市,1157962,57.96,4.83,1.918,270883,4329.147096717033,151.17966059147307,NA,174.4996917488362,359.6128217717612,0.0021928286381943498,11.96,33.933469431451954
2014,嘉義縣,789406,47.39,0.9,4.525,524783,4963.118090715591,177.89257655068857,NA,140.24463444890557,338.15119773315826,0.16657551788072403,11.91,20.012081184032258
2014,基隆市,957360,54.63,5.18,5.532,373077,3998.7135229456653,175.24532469168562,NA,178.84243735207477,386.2473430417849,1.393814145605331e-4,12.82,32.15958099802454
2014,宜蘭縣,1071335,60.8,6.81,4.685,458777,61171.04932025799,138.25671295640365,0.3313156500870793,148.00872755172992,353.52251747581073,0.057879972186923055,15.06,66.92794102581428
2014,屏東縣,832681,45.02,1.34,3.904,847917,5164.394122302065,169.3974764039405,NA,121.65459590974116,308.1186012310167,0.10311976290132172,10.03,17.06652891733507
2014,彰化縣,940572,46.81,0.75,6.438,1291474,7870.963678711302,161.3048346308172,0.013937562815821302,127.00836408630758,303.2875613446341,0.17641547565030344,10.35,14.96042506469352
2014,新北市,1146991,61.52,7.95,4.258,3966818,5121.740455196079,96.15515508904114,1.8823651601863256,122.72052814119529,254.78985927763765,0.031422666731874264,7.8,34.03181088721489
2014,新竹市,1576797,49.71,8.03,3.672,431988,23774.096384621796,192.5979425354408,8.421530227691509,173.62982305064028,399.6893432224969,0.0296628610053983,8.54,25.04236228784133
2014,新竹縣,1389453,51.51,2.33,8.61,537630,15878.361508844373,166.26490337220764,NA,147.76891170507596,342.90497182076894,0.024308539330022506,9.78,28.871156743485297
2014,桃園市,1327963,56.09,2.87,8.534,2058328,12488.799285147945,171.00141474050784,0.5630783820654434,168.65484995588653,390.7618222168673,0.11106830398265,10.45,50.54199330718914
2014,澎湖縣,932694,52.76,2.62,2.042,101758,3833.043082607756,137.8564830283614,16.804575561626606,133.80766131409817,327.4140608109436,0.12252599304231608,8.53,38.945340906857446
2014,臺中市,1152523,52.43,5.9,3.656,2719835,9266.242129393879,141.14642983857476,0.3235490388203696,138.77569779049097,297.4000261045247,0.4742302382313633,9.43,17.15434943663862
2014,臺北市,1575819,67.38,6.83,3.908,2702315,6011.630376547516,101.45597385945014,NA,180.7953550936882,311.0499701182134,1.0509507588863622e-4,6.79,28.799011218159244
2014,臺南市,991990,58.11,3.96,9.687,1884284,15537.221730906806,136.03310329016222,0.18840047466305504,152.0508585754589,325.1802806795578,0.04375720432801,9.24,36.9079183392737
2014,臺東縣,820549,44.46,1.39,4.275,224470,3950.660747538647,143.07034347574285,55.655544170713235,132.86853477079342,357.80282443088163,0.029527331046465006,13.43,26.20840201363211
2014,花蓮縣,860613,48.21,1.65,61.621,333392,7433.373947185295,128.08045783942026,39.254091279934734,134.44233814848585,323.11813120890724,0.7339348274703652,13.55,21.33824446897346
2014,苗栗縣,1100084,48.79,5.27,8.772,567132,12498.683207789369,159.0141272225866,0.012342805554967803,129.0669544303619,310.53793473124426,0.34678875464618464,9.88,22.442747014804315
2014,連江縣,NA,68.26,3.35,2.895,12506,5328.087478010555,188.9493043339197,NA,249.0804413881337,595.3142491604029,9.595394210778827e-4,14.8,157.36446505677276
2014,金門縣,NA,51.41,8.58,2.084,127723,2168.6963428669856,78.63110011509282,12.730674976315933,84.62062431981711,189.26113542588257,0.035866680237701905,12.8,12.675868872481855
2014,雲林縣,865131,45.79,0.56,3.233,705356,7502.499422986407,102.71976136872728,44.257084365908845,103.85819359302253,271.1099076211161,0.21745047890710506,12.34,20.27628601727355
2014,高雄市,1112287,55.76,7.31,13.367,2778992,1197.4624072325505,143.7287332961016,3.3551733866092452,150.94645828415483,332.49430009154395,0.028211308272927737,9.97,34.4639351246783
2015,南投縣,878760,51.7,0.98,2.474,509490,5292.445058784275,179.3499381734676,2.6222300732104653,156.6370291860488,376.7551865591081,0.5541777071188836,11.58,38.14598912638128
2015,嘉義市,1106004,58.38,5.05,1.731,270366,4357.731094146453,148.62445721725365,NA,174.76309891036595,357.13810168438334,0.011295799027984287,11.69,33.7505455567638
2015,嘉義縣,890742,50.51,0.94,5.832,519839,5016.080501847688,165.85135012955934,NA,147.9323405900673,335.11914265763056,0.2203624583765358,11.85,21.33545193800388
2015,基隆市,1072433,55.22,5.17,3.584,372105,3898.079585063356,178.77480818586153,NA,184.39687722551432,399.2367745663186,1.3974550194165625e-4,12.28,36.06240174144395
2015,宜蘭縣,1160320,62.18,5.97,3.786,458117,7148.019564870982,141.2324799123368,0.24229618197971262,164.02141810934762,374.12276776456673,0.062202450465710726,15.29,68.62657356090257
2015,屏東縣,869818,45.91,1.56,4.81,841253,5269.109905105836,174.68585550363565,0.12481381938608244,134.2996696594247,323.19290391832186,0.12937725036344597,10.04,14.082564935875414
2015,彰化縣,926717,46.16,0.76,8.201,1289072,7934.282974884258,160.68225824469076,0.21953777601251134,128.78489331860442,298.91891220971365,0.18976441967554955,10.28,9.208950314644953
2015,新北市,1171978,63.49,8.24,3.927,3970644,5073.00787277832,84.67895887921456,1.770493652918771,118.74295454339396,236.75907485032656,0.03204694251108888,7.71,31.56641592648447
2015,新竹市,1427572,54.39,7.91,6.624,434060,23623.313509653042,165.7835322305672,8.855918536607842,182.0370455697369,382.9125005759572,0.02980463530387504,9.22,26.23830806800903
2015,新竹縣,1283995,52.75,2.55,6.996,542042,16262.689291604709,155.10052726541485,0.0018448754893532235,145.684282767756,328.2550060696404,0.025081082277757075,9.98,27.468351160980145
2015,桃園市,1307158,48.86,6.99,8.753,2105780,13208.603135655198,177.27540388834544,0.3960527690451994,155.4891774069466,347.4503509388445,0.11268651046168165,10.92,14.289716874507308
2015,澎湖縣,792696,52.57,2.69,0.706,102304,3811.6633562715047,150.17008132624335,7.702533625273694,135.21465436346574,332.8315608382859,0.16856623396934625,8.49,39.7442915233031
2015,臺中市,1169183,51.86,5.76,4.118,2744445,9432.389819070886,142.63248124848556,0.3053440677441159,138.7442634120924,296.91832046187847,0.47746156326689004,9.47,15.236231733556329
2015,臺北市,1581899,67.02,7.69,2.844,2704810,5980.1998232777905,104.53821155644944,NA,184.87546260180937,317.00230330411375,1.5638806422632273e-4,6.68,27.588629145854977
2015,臺南市,1007093,58.74,4.29,19.908,1885541,13736.9069100062,134.66373841778037,1.483924242432278,156.9772282862054,329.94084986749164,0.06777842539621255,9.28,36.81595892107358
2015,臺東縣,746981,46.85,1.22,3.899,222452,4131.670387319512,97.02767338571915,87.18734828187654,135.30109866398143,346.5646521496773,0.048369985435060145,13.27,27.05752252171255
2015,花蓮縣,924706,47.7,1.62,5.647,331945,7514.771564566419,131.322960128937,42.60645588877676,137.65533446805946,332.62438054496977,0.7373570922893853,13.37,21.018542228381207
2015,苗栗縣,1008241,51.66,5.47,8.632,563912,12379.316923562541,158.91486614932825,0.021279916015264792,145.43226602732344,328.80839563619855,0.3500794450197903,10.02,24.44175686986622
2015,連江縣,NA,69.62,3.81,1.718,12547,5002.417789112936,168.3270901410696,NA,242.68749501872958,553.9969713875827,9.564039212560772e-4,14.91,143.06208655455487
2015,金門縣,NA,49.71,5.38,0.877,132799,2107.567971144361,89.0368150362578,10.963937981460704,87.00366719628913,199.94126461795648,0.036739734485952455,14.94,12.387141469438776
2015,雲林縣,876670,46.09,1.13,4.783,699633,7744.343695909141,104.26180583248646,43.36416378301195,112.56615968657853,277.9928905583356,0.2947888392914571,12.31,15.559586240214513
2015,高雄市,1145895,55.71,7.37,6.73,2778918,10467.460307213096,140.0739424481039,3.002247637389804,148.03063638437695,323.0419177536005,0.03512662122451976,10.07,31.935091283729854
2016,南投縣,916199,52.53,2.23,1.73,505163,5466.362748261452,147.3227453317048,0.7561915658906134,164.9665553494615,371.30787488394833,0.5668685157068115,11.45,30.081379673491526
2016,嘉義市,1154411,60.24,6.6,3.778,269874,4452.114145860661,137.1158392434988,NA,177.25679391123265,344.8164699081794,0.01923490221362562,11.79,30.443836753447904
2016,嘉義縣,896217,57.66,0.97,6.241,515320,5254.0269851742605,150.79756267950012,NA,180.34231157339127,356.18256617247533,0.26643250795622136,11.54,25.042691919583948
2016,基隆市,1074314,56.76,5.32,3.4,372100,3990.09165278151,174.22467078742272,NA,196.7992475141091,402.92663262563826,1.3974737973662993e-4,12.37,31.902714324106423
2016,宜蘭縣,1085846,54.33,5.11,4.594,457538,7320.827314889692,165.06607101486654,0.16173520013638212,165.5928032207161,361.7732297645223,0.06745232090012196,15.14,30.95262032880329
2016,屏東縣,911258,48.57,1.41,4.817,835792,5385.191063087466,183.90819725481938,0.02273292876696594,160.48849474510405,358.17523977257497,0.1504130214215977,9.81,13.474644409135287
2016,彰化縣,994353,48.67,0.7,8.207,1287146,8164.049502542835,156.8369089442845,0.12197528485502034,140.9692451361384,311.9327566569759,0.23178489464287658,9.96,10.846477400388146
2016,新北市,1223867,65.46,9.01,4.018,3979208,5232.80660699315,85.94147378071214,NA,132.15946489854264,248.82790746299264,0.032836685089093105,7.6,30.72696878373787
2016,新竹市,1537317,61.03,6.82,6.2,437337,23518.761703217428,126.89527755483756,8.59520232680976,184.13946224536227,347.67924964043743,0.031170470369531963,10.53,28.04930751342786
2016,新竹縣,1365150,55.07,3.14,12.575,547481,17007.332628894885,128.21814820970957,0.05662296956424059,148.13482111707987,301.70727385973214,0.03430073372409271,10.32,18.026196342886784
2016,桃園市,1317790,51.03,7.3,5.755,2147763,13241.915559118954,167.64419537909907,0.2802916336672156,176.1344245151816,368.80978022249195,0.11520684544803128,10.87,12.066042668581217
2016,澎湖縣,1069545,56.76,3.68,1.716,103263,3945.3431432362026,155.51552831120537,3.2731956267007543,169.50892381588758,367.2176868771971,0.17802116924745554,8.25,38.910355112673464
2016,臺中市,1140325,55.12,5.92,2.814,2767239,9883.251421723964,132.00775213127596,0.15430542862398222,146.99922919559893,294.87731272940283,0.48404673394672454,9.16,15.531365378993286
2016,臺北市,1568945,68.78,8.75,2.763,2695704,6132.51666466348,90.72732021023079,NA,174.52991871511114,290.5615750097192,1.7360956544190312e-4,6.3,25.304336084377216
2016,臺南市,1063495,62.33,4.12,6.599,1886033,14036.181992043617,127.06034305868455,0.6945795752248238,172.9996240786879,339.16002530178423,0.09184356795453738,9.16,38.405478589186934
2016,臺東縣,797395,56.37,1.69,2.977,220802,4263.979633336655,57.911613119446386,115.95003668445032,194.219255260369,400.08242678961244,0.05412994447514062,13.39,31.29953533029592
2016,花蓮縣,948501,50.78,2.19,5.184,330911,7501.282746720417,126.71987331941217,32.72783316359988,155.57355300972165,339.06397792759986,0.7398907863443644,13.09,16.587541665281602
2016,苗栗縣,1166196,53.02,3.48,8.537,559189,12771.439203918531,160.60759421233251,0.03397777853283952,159.01958014195557,341.9541514586303,0.38230365761844387,10.33,22.29478762994265
2016,連江縣,NA,65.01,5.73,2.296,12595,5289.439857086145,167.36800317586346,NA,217.62604208019053,479.1583961889639,9.527590313616514e-4,15.76,93.92616117506947
2016,金門縣,NA,54.24,6.56,1.589,135114,2169.631155912785,96.22985034859452,8.126470980061283,108.523173024261,229.22865136107288,0.06037124206225854,16.53,15.801471350119158
