Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,歲出政事別結構比-社區發展及環境保護支出(％),year,環保罰鍰佔比(%),,,,,,,,,,,,,,,,,,,,,,,,,
新北市,7.95,2014,4.258,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,6.83,2014,3.908,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,2.87,2014,8.534,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,5.9,2014,3.656,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,3.96,2014,9.687,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,7.31,2014,13.367,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,6.81,2014,4.685,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,2.33,2014,8.610,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,5.27,2014,8.772,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,0.75,2014,6.438,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,1.17,2014,1.917,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,0.56,2014,3.233,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,0.9,2014,4.525,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,1.34,2014,3.904,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,1.39,2014,4.275,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,1.65,2014,61.621,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2.62,2014,2.042,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,5.18,2014,5.532,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,8.03,2014,3.672,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,4.83,2014,1.918,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,8.58,2014,2.084,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,3.35,2014,2.895,,,,,,,,,,,,,,,,,,,,,,,,,
