city/county,per_capita_food_waste,year,,,,
新北市,134998,2014,,,,
臺北市,77824,2014,,,,
桃園市,104032,2014,,,,
臺中市,46657,2014,,,,
臺南市,69545,2014,,,,
高雄市,95775,2014,,,,
宜蘭縣,30705,2014,,,,
新竹縣,15522,2014,,,,
苗栗縣,12728,2014,,,,
彰化縣,19321,2014,,,,
南投縣,21437,2014,,,,
雲林縣,14302,2014,,,,
嘉義縣,10502,2014,,,,
屏東縣,14471,2014,,,,
臺東縣,5883,2014,,,,
花蓮縣,7114,2014,,,,
澎湖縣,3963,2014,,,,
基隆市,11998,2014,,,,
新竹市,10818,2014,,,,
嘉義市,9192,2014,,,,
金門縣,1619,2014,,,,
連江縣,1968,2014,,,,
新北市,125339,2015,,,,
臺北市,74622,2015,,,,
桃園市,30091,2015,,,,
臺中市,41815,2015,,,,
臺南市,69418,2015,,,,
高雄市,88745,2015,,,,
宜蘭縣,31439,2015,,,,
新竹縣,14889,2015,,,,
苗栗縣,13783,2015,,,,
彰化縣,11871,2015,,,,
南投縣,19435,2015,,,,
雲林縣,10886,2015,,,,
嘉義縣,11091,2015,,,,
屏東縣,11847,2015,,,,
臺東縣,6019,2015,,,,
花蓮縣,6977,2015,,,,
澎湖縣,4066,2015,,,,
基隆市,13419,2015,,,,
新竹市,11389,2015,,,,
嘉義市,9125,2015,,,,
金門縣,1645,2015,,,,
連江縣,1795,2015,,,,
新北市,122269,2016,,,,
臺北市,68213,2016,,,,
桃園市,25915,2016,,,,
臺中市,42979,2016,,,,
臺南市,72434,2016,,,,
高雄市,89536,2016,,,,
宜蘭縣,14162,2016,,,,
新竹縣,9869,2016,,,,
苗栗縣,12467,2016,,,,
彰化縣,13961,2016,,,,
南投縣,15196,2016,,,,
雲林縣,12675,2016,,,,
嘉義縣,12905,2016,,,,
屏東縣,11262,2016,,,,
臺東縣,6911,2016,,,,
花蓮縣,5489,2016,,,,
澎湖縣,4018,2016,,,,
基隆市,11871,2016,,,,
新竹市,12267,2016,,,,
嘉義市,8216,2016,,,,
金門縣,2135,2016,,,,
連江縣,1183,2016,,,,
新北市,113473,2017,,,,
臺北市,66764,2017,,,,
桃園市,22460,2017,,,,
臺中市,43308,2017,,,,
臺南市,73372,2017,,,,
高雄市,81510,2017,,,,
宜蘭縣,7770,2017,,,,
新竹縣,7797,2017,,,,
苗栗縣,12466,2017,,,,
