"統計期","地區別","家庭戶數","所得收入"
"103年","總計",8290000,1157926
"103年","新北市",1486716,1146991
"103年","臺北市",1031465,1575819
"103年","桃園市",723763,1327963
"103年","臺中市",904183,1152523
"103年","臺南市",665443,991990
"103年","高雄市",1059475,1112287
"103年","宜蘭縣",161730,1071335
"103年","新竹縣",176832,1389453
"103年","苗栗縣",181983,1100084
"103年","彰化縣",377149,940572
"103年","南投縣",175808,919551
"103年","雲林縣",237254,865131
"103年","嘉義縣",180933,789406
"103年","屏東縣",282596,832681
"103年","臺東縣",81951,820549
"103年","花蓮縣",123835,860613
"103年","澎湖縣",37401,932694
"103年","基隆市",150053,957360
"103年","新竹市",153558,1576797
"103年","嘉義市",97872,1157962
"104年","總計",8386495,1167284
"104年","新北市",1503844,1171978
"104年","臺北市",1041379,1581899
"104年","桃園市",742046,1307158
"104年","臺中市",920195,1169183
"104年","臺南市",670228,1007093
"104年","高雄市",1069177,1145895
"104年","宜蘭縣",163974,1160320
"104年","新竹縣",181120,1283995
"104年","苗栗縣",183736,1008241
"104年","彰化縣",380058,926717
"104年","南投縣",176609,878760
"104年","雲林縣",238079,876670
"104年","嘉義縣",181653,890742
"104年","屏東縣",283712,869818
"104年","臺東縣",82246,746981
"104年","花蓮縣",124617,924706
"104年","澎湖縣",37981,792696
"104年","基隆市",150947,1072433
"104年","新竹市",156266,1427572
"104年","嘉義市",98628,1106004
"105年","總計",8458223,1194572
"105年","新北市",1515318,1223867
"105年","臺北市",1045175,1568945
"105年","桃園市",757890,1317790
"105年","臺中市",933760,1140325
"105年","臺南市",674233,1063495
"105年","高雄市",1076120,1166824
"105年","宜蘭縣",165698,1085846
"105年","新竹縣",185128,1365150
"105年","苗栗縣",184739,1166196
"105年","彰化縣",383007,994353
"105年","南投縣",177089,916199
"105年","雲林縣",238767,896101
"105年","嘉義縣",182132,896217
"105年","屏東縣",285022,911258
"105年","臺東縣",82460,797395
"105年","花蓮縣",125005,948501
"105年","澎湖縣",38571,1069545
"105年","基隆市",151064,1074314
"105年","新竹市",158443,1537317
"105年","嘉義市",98602,1154411
"106年","總計",8559187,1231112
"106年","新北市",1533928,1265798
"106年","臺北市",1049354,1648122
"106年","桃園市",779743,1337361
"106年","臺中市",951383,1245350
"106年","臺南市",680737,1079199
"106年","高雄市",1087007,1186204
"106年","宜蘭縣",167742,1098807
"106年","新竹縣",189271,1616327
"106年","苗栗縣",186749,1029485
"106年","彰化縣",385572,970491
"106年","南投縣",177729,894368
"106年","雲林縣",239882,868663
"106年","嘉義縣",182646,901022
"106年","屏東縣",286320,958999
"106年","臺東縣",82755,889108
"106年","花蓮縣",125621,910090
"106年","澎湖縣",39321,857821
"106年","基隆市",152390,1096361
"106年","新竹市",161811,1572296
"106年","嘉義市",99226,1090947
"107年","總計",8643140,1249031
"107年","新北市",1551017,1292753
"107年","臺北市",1053741,1649348
"107年","桃園市",798391,1378732
"107年","臺中市",965455,1279865
"107年","臺南市",685873,1086077
"107年","高雄市",1095318,1219246
"107年","宜蘭縣",168959,1069997
"107年","新竹縣",192993,1519478
"107年","苗栗縣",188522,1045881
"107年","彰化縣",388042,997162
"107年","南投縣",178155,967369
"107年","雲林縣",240634,860237
"107年","嘉義縣",182905,940780
"107年","屏東縣",287294,985681
"107年","臺東縣",82896,884510
"107年","花蓮縣",125851,937898
"107年","澎湖縣",39883,959761
"107年","基隆市",153191,1070748
"107年","新竹市",164283,1426379
"107年","嘉義市",99737,1152499
"108年","總計",8734576,1274196
"108年","新北市",1571557,1319841
"108年","臺北市",1058621,1723021
"108年","桃園市",816222,1392199
"108年","臺中市",979469,1298497
"108年","臺南市",692289,1079174
"108年","高雄市",1104650,1224668
"108年","宜蘭縣",169900,1093475
"108年","新竹縣",197610,1539555
"108年","苗栗縣",190098,1073028
"108年","彰化縣",390815,1026792
"108年","南投縣",178590,940893
"108年","雲林縣",241342,933883
"108年","嘉義縣",183302,850597
"108年","屏東縣",288710,964547
"108年","臺東縣",83150,874386
"108年","花蓮縣",126329,956973
"108年","澎湖縣",40947,1037554
"108年","基隆市",153933,1140481
"108年","新竹市",166833,1602826
"108年","嘉義市",100209,1208298
"109年","總計",8829466,1293719
"109年","新北市",1594111,1352548
"109年","臺北市",1060320,1716591
"109年","桃園市",834453,1424027
"109年","臺中市",993132,1289700
"109年","臺南市",699095,1086475
"109年","高雄市",1113881,1224100
"109年","宜蘭縣",171495,1138365
"109年","新竹縣",202656,1619782
"109年","苗栗縣",192076,1161999
"109年","彰化縣",394507,996066
"109年","南投縣",179226,997605
"109年","雲林縣",242888,988062
"109年","嘉義縣",184112,906554
"109年","屏東縣",290649,1064508
"109年","臺東縣",83395,891340
"109年","花蓮縣",127030,1032499
"109年","澎湖縣",41378,1091011
"109年","基隆市",155018,1106963
"109年","新竹市",169186,1618903
"109年","嘉義市",100858,1225219
"110年","總計",8919896,1314023
"110年","新北市",1612821,1381603
"110年","臺北市",1057695,1732126
"110年","桃園市",853848,1448909
"110年","臺中市",1009568,1304508
"110年","臺南市",705803,1120580
"110年","高雄市",1123351,1231562
"110年","宜蘭縣",173265,1136419
"110年","新竹縣",207824,1689337
"110年","苗栗縣",194320,1214424
"110年","彰化縣",397597,1086809
"110年","南投縣",179671,985686
"110年","雲林縣",244369,1024191
"110年","嘉義縣",184817,916631
"110年","屏東縣",292214,1046302
"110年","臺東縣",83767,911136
"110年","花蓮縣",127594,1026488
"110年","澎湖縣",41840,796484
"110年","基隆市",155737,1111556
"110年","新竹市",172450,1602415
"110年","嘉義市",101345,1217617
"111年","總計",8968428,1340848
"111年","新北市",1622976,1421385
"111年","臺北市",1041655,1752411
"111年","桃園市",866529,1449549
"111年","臺中市",1022349,1338826
"111年","臺南市",711543,1143699
"111年","高雄市",1129734,1263068
"111年","宜蘭縣",174726,1165558
"111年","新竹縣",212370,1702134
"111年","苗栗縣",195947,1273250
"111年","彰化縣",400502,1108221
"111年","南投縣",179601,1048879
"111年","雲林縣",244767,1016913
"111年","嘉義縣",185092,891498
"111年","屏東縣",294025,1083933
"111年","臺東縣",84072,916928
"111年","花蓮縣",127840,1010041
"111年","澎湖縣",42205,919357
"111年","基隆市",156154,1099526
"111年","新竹市",174515,1722889
"111年","嘉義市",101826,1282798
"112年","總計",9119999,1375097
"112年","新北市",1655751,1440893
"112年","臺北市",1059757,1751823
"112年","桃園市",891027,1490814
"112年","臺中市",1047164,1346521
"112年","臺南市",721550,1177168
"112年","高雄市",1144005,1325786
"112年","宜蘭縣",177238,1114997
"112年","新竹縣",218361,1846263
"112年","苗栗縣",198022,1341195
"112年","彰化縣",404247,1164937
"112年","南投縣",180196,1069123
"112年","雲林縣",246207,1087755
"112年","嘉義縣",185790,936713
"112年","屏東縣",296396,1081286
"112年","臺東縣",84425,930467
"112年","花蓮縣",128496,1018629
"112年","澎湖縣",42807,1060432
"112年","基隆市",158167,1136337
"112年","新竹市",177461,1851383
"112年","嘉義市",102932,1348030


"說明：查詢之統計項目如為「儲蓄率」、「自有住宅比率(%)」,其較上期增減率、較上年同期增減率無意義,以「－」呈現。"
