縣市,year,Vancancy_rate
新北市,2014,7.8
臺北市,2014,6.79
桃園市,2014,10.45
臺中市,2014,9.43
臺南市,2014,9.24
高雄市,2014,9.97
宜蘭縣,2014,15.06
新竹縣,2014,9.78
苗栗縣,2014,9.88
彰化縣,2014,10.35
南投縣,2014,11.61
雲林縣,2014,12.34
嘉義縣,2014,11.91
屏東縣,2014,10.03
臺東縣,2014,13.43
花蓮縣,2014,13.55
澎湖縣,2014,8.53
基隆市,2014,12.82
新竹市,2014,8.54
嘉義市,2014,11.96
金門縣,2014,12.8
連江縣,2014,14.8
新北市,2015,7.71
臺北市,2015,6.68
桃園市,2015,10.92
臺中市,2015,9.47
臺南市,2015,9.28
高雄市,2015,10.07
宜蘭縣,2015,15.29
新竹縣,2015,9.98
苗栗縣,2015,10.02
彰化縣,2015,10.28
南投縣,2015,11.58
雲林縣,2015,12.31
嘉義縣,2015,11.85
屏東縣,2015,10.04
臺東縣,2015,13.27
花蓮縣,2015,13.37
澎湖縣,2015,8.49
基隆市,2015,12.28
新竹市,2015,9.22
嘉義市,2015,11.69
金門縣,2015,14.94
連江縣,2015,14.91
新北市,2016,7.6
臺北市,2016,6.3
桃園市,2016,10.87
臺中市,2016,9.16
臺南市,2016,9.16
高雄市,2016,9.94
宜蘭縣,2016,15.14
新竹縣,2016,10.32
苗栗縣,2016,10.33
彰化縣,2016,9.96
南投縣,2016,11.45
雲林縣,2016,12.14
嘉義縣,2016,11.54
屏東縣,2016,9.81
臺東縣,2016,13.39
花蓮縣,2016,13.09
澎湖縣,2016,8.25
基隆市,2016,12.37
新竹市,2016,10.53
嘉義市,2016,11.79
金門縣,2016,16.53
連江縣,2016,15.76
新北市,2017,7.64
臺北市,2017,6.22
桃園市,2017,10.34
臺中市,2017,9.13
臺南市,2017,9.32
高雄市,2017,9.76
宜蘭縣,2017,15.25
新竹縣,2017,9.8
苗栗縣,2017,10.97
彰化縣,2017,9.97
南投縣,2017,11.31
雲林縣,2017,12.12
嘉義縣,2017,11.7
屏東縣,2017,9.73
臺東縣,2017,13.37
花蓮縣,2017,13.05
澎湖縣,2017,8.57
基隆市,2017,11.64
新竹市,2017,9.45
嘉義市,2017,11.87
金門縣,2017,17.66
連江縣,2017,17.41
新北市,2018,8.33
臺北市,2018,6.67
桃園市,2018,10.58
臺中市,2018,9.32
臺南市,2018,9.66
高雄市,2018,10.11
宜蘭縣,2018,16.38
新竹縣,2018,9.94
苗栗縣,2018,11.54
彰化縣,2018,10.29
南投縣,2018,11.81
雲林縣,2018,12.06
嘉義縣,2018,11.86
屏東縣,2018,9.96
臺東縣,2018,13.99
花蓮縣,2018,13.55
澎湖縣,2018,8.55
基隆市,2018,13.02
新竹市,2018,9.76
嘉義市,2018,12.23
金門縣,2018,18.22
連江縣,2018,15.51
新北市,2019,8.37
臺北市,2019,6.83
桃園市,2019,10.06
臺中市,2019,8.44
