Table 1
,歲入來源別-罰款及賠償收入(百萬元),歲出政事別-社區發展及環境保護支出(百萬元),歲出政事別結構比-社區發展及環境保護支出(％),,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,19473.87,52964.22,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,19425.93,51884.02,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,4302.27,12274.94,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,2952.67,11444.09,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,1569,1798.59,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,2338.92,6191.13,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,1012.9,2907.97,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,2627.6,9230.55,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,327.07,1347.43,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,417.8,538.96,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,322.03,1394.4,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,660.87,307.43,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,373.18,254.6,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,435.51,148.61,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,282.88,197.72,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,583.51,417.33,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,169.26,198.11,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,297.7,282.79,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,29.63,219.26,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,207.17,863.16,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,391.36,1352.72,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,124.59,514.24,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,42.32,978.76,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,5.63,101.44,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,20253.86,57487.35,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,20142.07,56654.76,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,3802.1,12495.68,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,3838.74,11854.94,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,1632.43,5943.13,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,2699.93,6513.5,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,1213.24,2980.86,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,2454.29,8843.21,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,365.6,1222.93,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,427,547.26,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,345.88,1284.5,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,756.92,310.35,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,331.95,202.82,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,368.95,298.91,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,213.28,216.31,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,466.33,498.6,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,194.96,171.82,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,262.09,275.54,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,80.75,237.04,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,296.79,828.4,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,250.97,1384.4,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,139.88,544.55,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
